study_id,statin,dose_mg,ldl_reduction_mmol,n_intervention,n_control,deaths_intervention,deaths_control,outcome,intervention,control,dataset_name,log_rr,se_log_rr,rr,ci_lower,ci_upper
WOSCOPS,Pravastatin,40,1.0,3302,3293,174,248,Major vascular events,Pravastatin 40mg,Placebo or lower dose,statin_dose_response,-0.35710278905416215,0.09577506607035169,0.699700572478068,0.5799450515990122,0.8441849616205434
PROSPER,Pravastatin,40,0.9,2891,2913,408,473,Major vascular events,Pravastatin 40mg,Placebo or lower dose,statin_dose_response,-0.14024719914468262,0.062257172429564606,0.869143357346522,0.7693023166816773,0.9819418962339593
HPS,Simvastatin,40,1.0,10269,10267,1212,1382,Major vascular events,Simvastatin 40mg,Placebo or lower dose,statin_dose_response,-0.13145461759768565,0.03679526612400163,0.8768190663905064,0.8158103712480719,0.9423901709042368
LIPID,Pravastatin,40,1.0,4512,4502,557,715,Major vascular events,Pravastatin 40mg,Placebo or lower dose,statin_dose_response,-0.25193607447794103,0.052442147445604395,0.7772944254327232,0.7013679171580156,0.8614403496769389
CARE,Pravastatin,40,0.9,2081,2078,212,274,Major vascular events,Pravastatin 40mg,Placebo or lower dose,statin_dose_response,-0.25798448645051947,0.08605141493306759,0.7726072178942606,0.6526950483896226,0.9145494739313241
TNT,Atorvastatin,80,1.5,4995,5006,434,548,Major vascular events,Atorvastatin 80mg,Placebo or lower dose,statin_dose_response,-0.23103097193854488,0.06106557537459996,0.7937148827659778,0.7041812492264117,0.894632334809095
IDEAL,Atorvastatin,80,1.3,4439,4449,411,463,Major vascular events,Atorvastatin 80mg,Placebo or lower dose,statin_dose_response,-0.11688361361799288,0.06436514323724045,0.8896887347908315,0.7842406969274842,1.0093151859051022
PROVE-IT,Atorvastatin,80,1.6,2099,2063,316,374,Major vascular events,Atorvastatin 80mg,Placebo or lower dose,statin_dose_response,-0.18581339057700086,0.06983699189948457,0.8304285463156635,0.7241955005236064,0.9522450360950111
JUPITER,Rosuvastatin,20,1.3,8901,8901,142,251,Major vascular events,Rosuvastatin 20mg,Placebo or lower dose,statin_dose_response,-0.5696258815305231,0.10393085880297345,0.5657370517928287,0.46147363076099973,0.6935573138674139
